career_slug,skill_slug,target_rank,weight
data-scientist,python,3,3
data-scientist,statistics,3,3
data-scientist,machine-learning,3,3
data-scientist,data-analysis,3,3
data-scientist,sql,2,3
data-scientist,data-cleaning,3,2
data-scientist,data-visualization,2,2
data-scientist,eda,2,2
data-scientist,feature-engineering,2,2
data-scientist,model-evaluation,2,2
data-scientist,data-storytelling,2,2
data-scientist,communication,2,2
data-scientist,jupyter,2,1
data-scientist,git,2,1
data-scientist,deep-learning,1,1
ai-engineer,python,3,3
ai-engineer,machine-learning,3,3
ai-engineer,deep-learning,3,3
ai-engineer,dl-frameworks,3,3
ai-engineer,mlops,2,3
ai-engineer,nlp,2,2
ai-engineer,llms,2,2
ai-engineer,dsa,2,2
ai-engineer,rest-apis,2,2
ai-engineer,docker,2,2
ai-engineer,cloud-platforms,2,2
ai-engineer,model-evaluation,2,2
ai-engineer,git,2,2
ai-engineer,communication,2,2
ai-engineer,generative-ai,2,1
ai-engineer,prompt-engineering,2,1
ai-engineer,sql,1,1
software-developer,dsa,3,3
software-developer,oop,3,3
software-developer,git,3,3
software-developer,javascript,3,3
software-developer,problem-solving,3,3
software-developer,rest-apis,2,3
software-developer,relational-databases,2,2
software-developer,sql,2,2
software-developer,software-testing,2,2
software-developer,system-design,2,2
software-developer,react,2,2
software-developer,nodejs,2,2
software-developer,html-css,2,2
software-developer,communication,2,2
software-developer,teamwork,2,2
software-developer,docker,1,1
software-developer,cloud-platforms,1,1
product-designer,ui-design,3,3
product-designer,ux-research,3,3
product-designer,figma,3,3
product-designer,wireframing,3,3
product-designer,communication,3,3
product-designer,design-systems,2,2
product-designer,interaction-design,2,2
product-designer,usability-testing,2,2
product-designer,user-journey-mapping,2,2
product-designer,information-architecture,2,2
product-designer,visual-design,2,2
product-designer,presentation-skills,2,2
product-designer,stakeholder-management,2,2
product-designer,problem-solving,2,2
digital-marketer,digital-marketing,3,3
digital-marketer,content-marketing,3,3
digital-marketer,social-media-marketing,3,3
digital-marketer,communication,3,3
digital-marketer,seo,2,3
digital-marketer,copywriting,2,2
digital-marketer,email-marketing,2,2
digital-marketer,paid-advertising,2,2
digital-marketer,marketing-analytics,2,2
digital-marketer,google-analytics,2,2
digital-marketer,brand-strategy,2,2
digital-marketer,presentation-skills,2,2
digital-marketer,crm-tools,2,1
digital-marketer,data-analysis,1,1
