opp_slug,skill_slug,weight
dsn-ds-internship,python,3
dsn-ds-internship,statistics,2
dsn-ds-internship,sql,2
dsn-ds-internship,machine-learning,2
dsn-ds-internship,data-visualization,1
ai-eng-fellowship,python,3
ai-eng-fellowship,deep-learning,3
ai-eng-fellowship,dl-frameworks,3
ai-eng-fellowship,mlops,2
ai-eng-fellowship,nlp,2
futminna-frontend-hack,javascript,3
futminna-frontend-hack,react,3
futminna-frontend-hack,html-css,2
futminna-frontend-hack,git,2
product-design-bootcamp,figma,3
product-design-bootcamp,ui-design,3
product-design-bootcamp,ux-research,2
product-design-bootcamp,wireframing,2
growth-marketing-internship,digital-marketing,3
growth-marketing-internship,social-media-marketing,3
growth-marketing-internship,seo,2
growth-marketing-internship,content-marketing,2
growth-marketing-internship,google-analytics,2
